odtItemId,odtId,odtOrdenId,odtDescripcion,productoId,codigoInterno,nombre,cantidad,estado,obs
1218,2564,4683,OT #8630 — No hay,1239,MK-98,PISCINA FLOR,1,Pendiente,
1220,2677,4685,OT #8917 — No hay,1019,MK-60,VESTIBULADOR MUDADOR 90x60x10 CMS,1,Pendiente,
1221,2563,4686,OT #8628 — TIEMPO DESPACHO 20 DIAS HABILES - FECHA TOPE MAXIMA DE ENTREGA 30-12-2021,962,MK-29,CUBO FANTASIA,2,Pendiente,CONVENIO MARCO
1222,2562,4688,OT #8627 — TIEMPO DESPACHO 20 DIAS HABILES (FECHA TOPE RECEPCION 30-12-21)-,85,MK-57,BLOQUES DE CONSTRUCCION DADOS GIGANTES,1,Pendiente,
1224,2599,4696,OT #8758 — DESPACO 30 DIAS HABILES,4910,MK-290,DADO CON PUNTOS 30x30x30 CMS,9,Pendiente,"DIVERTIDO DADO CON PUNTOS PARA APRENDER Y JUGAR, 30x30x30 CMS, VARIEDAD DE COLORES. Venta convenio Marco"
1229,2646,4704,OT #8856 — No hay,6338,MK-412-3,ESCALA 3 PELDAÃ‘OS.,1,Pendiente,
1243,2649,4720,OT #8864 — No hay,1312,MK-216,BANCA SUECA,1,Pendiente,
1245,2649,4720,OT #8864 — No hay,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,
1246,2649,4720,OT #8864 — No hay,1016,MK-59,VESTIBULADOR ROLLO COLUMPIO,1,Pendiente,
1255,2655,4746,OT #8876 — No hay,4910,MK-290,DADO CON PUNTOS 30x30x30 CMS,5,Pendiente,"CONVENIO MARCO - DIVERTIDO DADO CON PUNTOS PARA APRENDER Y JUGAR, 30x30x30 CMS, VARIEDAD DE COLORES"
1389,2768,4994,OT #9220 — COMPRA AGIL ENTREGA 35 DIAS HABILES,1016,MK-59,VESTIBULADOR ROLLO COLUMPIO,1,Pendiente,CONVENIO MARCO - DIMENSIONES : 100 X 30 X 120 CM INCLUYE CADENAS Y GRIFAS PARA COLGAR 
